,words,0,1,2,3,4,5,6,7,8,9
43,argument,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,around,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,arrest,0.38680843829714295,-0.06833601986595982,0.8383786029431488,-0.5232647515145689,0.26589910874700634,-0.4118808720155162,-0.025426225641159185,0.025092214702649218,-0.7878643385324273,-1.0418528902945934
46,aspect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,ass,0.39242036428753724,-0.03467399137207497,1.0941167440008717,-0.6292305625219957,-0.02185506220010819,-0.44466835345619427,-0.02181467501820571,-0.18950387489308834,-0.4073995856468996,-1.1957116287130216
48,assess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,atmospher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,attitud,-0.042640680567833426,-0.023546909066829935,0.208552870293124,-0.34537714414100956,-0.17944277021905075,-0.07245712865563558,-0.06528156756453653,-0.3788668373052807,-0.2636552153524768,0.1518994524271207
51,averag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,aw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,awar,0.24340304672639734,-0.020436204672469854,0.8397436462660686,-0.6295652168550196,0.455224737369469,-0.4274608054193364,-0.2678173199109841,-0.012569388885095189,-0.6126397046855087,-0.9171100628101323
54,awesom,0.6526079259238078,-0.18293817013023508,1.7245386724710408,4.598956120833007,5.246203708144406,0.41130839447871165,0.836440292678243,-5.477011478900115,3.593791476492783,-3.701806812954778
55,back,0.4748558095658433,-0.08414850831046773,1.0295785279523382,0.25685498430464426,-1.2830741767345248,0.10845118441385893,-0.09219820696579198,-1.4799285830647322,0.29030046923792513,0.19107175107522012
56,bad,0.38680843829714295,-0.06833601986595982,0.8383786029431488,-0.5232647515145689,0.26589910874700634,-0.4118808720155162,-0.025426225641159185,0.025092214702649218,-0.7878643385324273,-1.0418528902945934
57,badli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,bagyong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,bake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,ban,0.312128993110125,0.040563798399203564,1.5602992057974614,3.830400796641627,4.599279648294695,1.2211726014407396,-0.021738426359872345,-0.48128055850386986,-3.6617373223295733,3.5186937754788814
61,bandwagon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,barefoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,barrettwilson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,bath,0.03149720293893244,0.013915934374187875,0.155796218791443,-0.07666523648798011,-0.19872938379506017,0.022321855551848825,-0.16860465192563764,-0.35820764646823233,0.14545526573191453,0.2768554399114243
65,bcoz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,beauti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,becom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,begin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,behind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,believ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,bennyjohnson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,benshapiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,better,-0.1752127483196795,0.0306193600228689,-0.12172638929115061,-0.012083381133773129,-0.5519386678854823,-0.28144851310530083,-0.07782715003405449,-0.24298665184731463,0.3990030132735793,-0.16467153939848228
75,big,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,binrubrush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,biosystem,0.42213462227326254,0.025064391833785515,1.1251802286742332,-1.2331999688941016,0.4555787464534369,-0.5435839850404937,-0.3469906576682542,-1.0809209658666072,-2.0434151083470122,0.018834819297429514
78,birth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,bit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,bitch,1.4979211339657303,-1.1287503120033886,0.7581627199964571,-1.361569701357849,-0.7280397382602287,3.0506037473964165,2.6426786185234046,-0.7950103299155918,-0.1950962437181114,-0.4465369423796796
81,blame,0.42213462227326254,0.025064391833785515,1.1251802286742332,-1.2331999688941016,0.4555787464534369,-0.5435839850404937,-0.3469906576682542,-1.0809209658666072,-2.0434151083470122,0.018834819297429514
82,blind,0.13348469322586162,0.22325728709491519,0.48950719472462567,0.11608961921504252,-0.08120551193400546,-0.5720284374567306,-0.16387949981389538,-0.17083265214466314,0.9761636609801808,1.555980930878368
83,block,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,boil,1.5418437922712271,1.853372970424616,-0.6325855112964434,-0.000619120236629155,0.33023684476626747,-0.6090486171452568,0.9187723265470426,0.34703332953154337,-0.022173906852865556,-0.7888396537118152
85,bolster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,brand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,break,1.216812988142226,1.4087556436095328,-0.34921608370590085,0.4169216749512944,-0.494207088456606,-0.4215423183324419,0.16316648187024532,0.09763892094927913,0.035072019868654616,0.09400872369182875
88,breezyscrol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,broken,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,brought,0.20004179552276502,0.012328293238402815,0.4883658809628754,-0.13212031242957148,-0.19590641853896634,-0.2896984506007135,-0.03934828937578763,-0.4312968048528674,0.38963629377897124,0.34006976974997666
91,browser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,btw,0.6468326863196662,0.6615086303622324,0.43327674571649866,-0.25842638149015995,0.949899376368747,3.127536289225874,-3.7093325512906685,1.1612723109317526,1.0258949063089058,-0.3912197409032289
93,build,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,bulk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
