index,Numeric_code,country_name,country_code3,country_code2,timestamp,co,no2,o3,pm10,pm25,so2,death_rate
234,496.0,Mongolia,MNG,MN,2016,,,,,29.6,,159.31908127462614
235,496.0,Mongolia,MNG,MN,2017,821.0,,,,,,156.83247574797076
236,496.0,Mongolia,MNG,MN,2018,273.3333333333333,43.0,57.666666666666664,70.0,,42.0,155.38239172841912
237,496.0,Mongolia,MNG,MN,2019,22.125,44.885245901639344,10.6,189.35897435897436,131.44444444444446,39.98360655737705,156.65955887088347
240,470.0,Malta,MLT,MT,2019,,,,0.0,23.15,,16.708955106708647
243,484.0,Mexico,MEX,MX,2016,,0.0,0.021500000000000002,34.583333333333336,3.9799999999999995,,46.28554497734304
244,484.0,Mexico,MEX,MX,2017,,,,,9.0,,45.38089654939896
245,484.0,Mexico,MEX,MX,2018,24.9125,0.035,,118.0,10.0,0.002,44.1419202394994
246,484.0,Mexico,MEX,MX,2019,1.05,0.0345,0.0196,32.2,23.0,0.0014,43.91420908128581
250,566.0,Nigeria,NGA,NG,2015,,,,,8.149999999999999,,160.73651952273357
252,528.0,Netherlands (the),NLD,NL,2015,,,,-152.33722222166668,,,14.789747437319328
253,528.0,Netherlands (the),NLD,NL,2016,,-995.0,,-995.0,-995.0,,14.427234071772844
254,528.0,Netherlands (the),NLD,NL,2017,,-995.0,-995.0,-995.0,,,14.164633702501444
255,528.0,Netherlands (the),NLD,NL,2018,,-995.0,-995.0,-995.0,-995.0,,14.128613231204312
256,528.0,Netherlands (the),NLD,NL,2019,,-999.0,,,,,13.86443543720596
260,578.0,Norway,NOR,NO,2016,,53.434395035,,,,,4.779761410715382
261,578.0,Norway,NOR,NO,2017,,46.440123805,,14.922056453749999,15.485004164249998,,4.258287934405146
262,578.0,Norway,NOR,NO,2018,,23.14399656257143,43.0,12.424074036666667,13.219722235999999,1.6,4.376388603621392
263,578.0,Norway,NOR,NO,2019,,21.363477777777778,65.8,8.166666666666666,4.779999999999999,,4.352871833288655
270,604.0,Peru,PER,PE,2016,,,,,49.4,,38.11912462860268
271,604.0,Peru,PER,PE,2017,0.8,0.02055384615384615,0.007853846153846154,91.13333333333333,31.8,0.002507692307692308,36.71091757989174
272,604.0,Peru,PER,PE,2018,903.4399999999999,44.242,16.45625,77.07571428571428,18.795,7.106666666666666,35.83051403723549
276,608.0,Philippines (the),PHL,PH,2014,,,,,9.7,,124.1485148701819
279,616.0,Poland,POL,PL,2016,,,,238.6,,,44.814654527805445
280,616.0,Poland,POL,PL,2017,1956.0,37.629629629629626,13.888,188.9125,171.39000000000001,20.078260869565216,44.24214392173455
281,616.0,Poland,POL,PL,2018,486.08325,8.5652475,37.3639625,35.1233,0.0,3.3520950000000003,44.03890920479317
282,616.0,Poland,POL,PL,2019,398.5050909090909,7.287309230769231,51.62532222222222,32.84330933333333,24.54743076923077,4.831101764705883,43.37586437451669
286,620.0,Portugal,PRT,PT,2018,,0.0,0.0,0.0,,,9.02305546149839
287,620.0,Portugal,PRT,PT,2019,0.0,0.0,23.5,0.0,0.0,0.0,8.813872124399248
297,643.0,Russian Federation (the),RUS,RU,2017,326.7391304347826,25.91333333333333,,27.0,,4.284210526315789,33.5731291534943
299,682.0,Saudi Arabia,SAU,SA,2019,,,,,23.0,,111.9760309732776
303,752.0,Sweden,SWE,SE,2018,,23.09340769230769,40.4725,32.5338,27.1622,,3.3392435286034967
307,702.0,Singapore,SGP,SG,2015,,,,,282.9,,19.96324419929007
310,703.0,Slovakia,SVK,SK,2019,,,,,14.759,,39.42342700845955
314,764.0,Thailand,THA,TH,2015,1.795,0.0045,0.017,40.5,,,44.042639693308
315,764.0,Thailand,THA,TH,2016,0.7,,,,,,43.39802786091208
316,764.0,Thailand,THA,TH,2018,7.23,0.04766666666666666,0.025,,,,42.30514625775354
317,764.0,Thailand,THA,TH,2019,1.76,0.0029999999999999996,0.004384615384615384,96.0,,0.026324999999999998,42.003177892822194
325,792.0,Turkey,TUR,TR,2016,4320.0,53.0,53.5,223.4,,165.0,59.57025920442829
326,792.0,Turkey,TUR,TR,2017,1051.0,22.511666666666667,134.88888888888889,45.5,,46.0,56.79842262951055
327,792.0,Turkey,TUR,TR,2018,-7375.541392405064,28.172932330827066,54.59840909090909,117.0592105263158,,12.822222222222223,54.50402061175855
330,158.0,Taiwan (Province of China),TWN,TW,2017,0.32,0.00975,0.0445,36.0,11.0,0.0024000000000000002,32.301254441460095
331,158.0,Taiwan (Province of China),TWN,TW,2018,0.6833333333333335,0.009233333333333335,0.042666666666666665,32.333333333333336,20.666666666666668,0.0013666666666666669,31.94728646574641
336,840.0,United States of America (the),USA,US,2014,,,,,6.05,,12.454055691138947
337,840.0,United States of America (the),USA,US,2015,,0.0098,0.018,,,,11.933213755032613
338,840.0,United States of America (the),USA,US,2016,0.41818181818181815,0.0031172413793103446,0.0415503355704698,18.217391304347824,11.38314606741573,0.00020625,11.258058115229996
339,840.0,United States of America (the),USA,US,2017,0.42607142857142855,0.0061333333333333335,0.0265,26.23076923076923,11.897826086956522,0.0005121951219512195,10.63156964215073
340,840.0,United States of America (the),USA,US,2018,0.34896551724137936,0.008846153846153847,0.02383720930232558,15.710526315789474,12.440384615384614,-35.83241935483871,10.588969573889512
341,840.0,United States of America (the),USA,US,2019,0.3593333333333334,0.007648648648648648,0.0331,17.844827586206897,9.23103448275862,0.00017647058823529413,10.551644363706243
348,704.0,Viet Nam,VNM,VN,2015,,,,,36.9,,99.3641967428294
349,704.0,Viet Nam,VNM,VN,2016,,,,,20.55,,95.33372501675044
352,710.0,South Africa,ZAF,ZA,2019,,,,8.333333333333334,,6.000000000000012e-05,72.75947206190683
